n,prime,is_mersenne,ms
708,1000000000000033673,0,0.007
709,1000000000000033757,0,0.018
710,1000000000000033759,0,0.006
711,1000000000000033853,0,0.024
712,1000000000000033913,0,0.016
713,1000000000000033993,0,0.017
714,1000000000000034051,0,0.017
715,1000000000000034101,0,0.018
716,1000000000000034147,0,0.011
717,1000000000000034153,0,0.006
718,1000000000000034179,0,0.010
719,1000000000000034183,0,0.005
720,1000000000000034303,0,0.027
721,1000000000000034321,0,0.009
722,1000000000000034381,0,0.017
723,1000000000000034417,0,0.011
724,1000000000000034419,0,0.006
725,1000000000000034431,0,0.007
726,1000000000000034441,0,0.006
727,1000000000000034569,0,0.033
728,1000000000000034659,0,0.026
729,1000000000000034687,0,0.008
730,1000000000000034741,0,0.017
731,1000000000000034833,0,0.022
732,1000000000000034879,0,0.016
733,1000000000000034963,0,0.022
734,1000000000000034983,0,0.007
735,1000000000000034993,0,0.007
736,1000000000000035029,0,0.012
737,1000000000000035031,0,0.007
738,1000000000000035071,0,0.012
739,1000000000000035079,0,0.008
740,1000000000000035101,0,0.009
741,1000000000000035103,0,0.005
742,1000000000000035179,0,0.022
743,1000000000000035193,0,0.006
744,1000000000000035197,0,0.005
745,1000000000000035257,0,0.014
746,1000000000000035323,0,0.017
747,1000000000000035343,0,0.007
748,1000000000000035403,0,0.016
749,1000000000000035431,0,0.011
750,1000000000000035473,0,0.013
751,1000000000000035479,0,0.006
752,1000000000000035493,0,0.006
753,1000000000000035509,0,0.009
754,1000000000000035511,0,0.006
755,1000000000000035631,0,0.028
756,1000000000000035653,0,0.008
757,1000000000000035689,0,0.012
758,1000000000000035703,0,0.007
759,1000000000000035731,0,0.011
760,1000000000000035763,0,0.012
761,1000000000000035773,0,0.006
762,1000000000000035863,0,0.021
763,1000000000000035899,0,0.013
764,1000000000000035919,0,0.010
765,1000000000000035943,0,0.007
766,1000000000000035953,0,0.006
767,1000000000000036067,0,0.027
768,1000000000000036121,0,0.016
769,1000000000000036183,0,0.017
770,1000000000000036261,0,0.021
771,1000000000000036283,0,0.009
772,1000000000000036319,0,0.013
773,1000000000000036489,0,0.040
774,1000000000000036523,0,0.010
775,1000000000000036531,0,0.007
776,1000000000000036549,0,0.009
777,1000000000000036571,0,0.009
778,1000000000000036573,0,0.005
779,1000000000000036723,0,0.034
780,1000000000000036733,0,0.007
781,1000000000000036757,0,0.008
782,1000000000000036873,0,0.028
783,1000000000000036901,0,0.011
784,1000000000000036979,0,0.021
785,1000000000000036991,0,0.007
786,1000000000000037009,0,0.009
787,1000000000000037041,0,0.011
788,1000000000000037213,0,0.038
789,1000000000000037237,0,0.008
790,1000000000000037243,0,0.005
791,1000000000000037261,0,0.008
792,1000000000000037359,0,0.027
793,1000000000000037401,0,0.013
794,1000000000000037441,0,0.012
795,1000000000000037447,0,0.005
796,1000000000000037459,0,0.007
797,1000000000000037483,0,0.009
798,1000000000000037551,0,0.019
799,1000000000000037627,0,0.017
800,1000000000000037639,0,0.009
801,1000000000000037671,0,0.012
802,1000000000000037689,0,0.009
803,1000000000000037717,0,0.009
804,1000000000000037789,0,0.020
805,1000000000000037801,0,0.008
806,1000000000000037831,0,0.011
807,1000000000000037863,0,0.011
808,1000000000000037893,0,0.010
809,1000000000000037903,0,0.006
810,1000000000000037951,0,0.012
811,1000000000000037989,0,0.013
812,1000000000000038019,0,0.012
813,1000000000000038049,0,0.011
814,1000000000000038053,0,0.005
815,1000000000000038061,0,0.007
816,1000000000000038071,0,0.006
817,1000000000000038077,0,0.005
818,1000000000000038173,0,0.019
819,1000000000000038221,0,0.016
820,1000000000000038283,0,0.017
821,1000000000000038299,0,0.009
822,1000000000000038311,0,0.006
823,1000000000000038407,0,0.022
824,1000000000000038437,0,0.011
825,1000000000000038461,0,0.009
826,1000000000000038563,0,0.026
827,1000000000000038599,0,0.013
828,1000000000000038641,0,0.014
829,1000000000000038659,0,0.009
830,1000000000000038679,0,0.010
831,1000000000000038689,0,0.006
832,1000000000000038691,0,0.006
833,1000000000000038707,0,0.006
834,1000000000000038731,0,0.008
835,1000000000000038799,0,0.018
836,1000000000000038823,0,0.008
837,1000000000000038827,0,0.005
838,1000000000000038839,0,0.008
839,1000000000000039033,0,0.042
840,1000000000000039039,0,0.007
841,1000000000000039061,0,0.008
842,1000000000000039079,0,0.010
843,1000000000000039111,0,0.013
844,1000000000000039279,0,0.039
845,1000000000000039403,0,0.028
846,1000000000000039463,0,0.016
847,1000000000000039531,0,0.020
848,1000000000000039547,0,0.007
849,1000000000000039651,0,0.026
850,1000000000000039679,0,0.010
851,1000000000000039693,0,0.007
852,1000000000000039723,0,0.010
853,1000000000000039741,0,0.011
854,1000000000000039793,0,0.014
855,1000000000000039891,0,0.022
856,1000000000000039949,0,0.018
857,1000000000000040059,0,0.062
858,1000000000000040147,0,0.026
859,1000000000000040159,0,0.010
860,1000000000000040231,0,0.021
861,1000000000000040321,0,0.025
862,1000000000000040327,0,0.006
863,1000000000000040357,0,0.011
864,1000000000000040419,0,0.020
865,1000000000000040657,0,0.055
866,1000000000000040681,0,0.010
867,1000000000000040723,0,0.013
868,1000000000000040777,0,0.015
869,1000000000000040813,0,0.014
